,Intolerance,wealth_intolerance,Avg pct similar neighbors
0,0.25,0.25,0.0
1,0.25,0.25,0.0
2,0.25,0.25,52.7
3,0.25,0.25,56.5
4,0.25,0.25,57.4
5,0.25,0.25,57.5
6,0.25,0.25,58.1
7,0.25,0.25,58.1
8,0.25,0.25,58.5
9,0.25,0.25,58.5
10,0.25,0.25,58.5
11,0.25,0.25,58.7
12,0.25,0.25,58.8
13,0.25,0.25,58.8
14,0.25,0.25,58.8
15,0.25,0.25,58.8
16,0.25,0.25,58.8
17,0.25,0.25,58.8
18,0.25,0.25,58.8
19,0.25,0.25,58.8
20,0.25,0.25,58.8
21,0.25,0.25,58.8
22,0.25,0.25,58.8
23,0.25,0.25,58.8
24,0.25,0.25,58.8
25,0.25,0.25,58.8
26,0.25,0.25,58.8
27,0.25,0.25,58.8
28,0.25,0.25,58.8
29,0.25,0.25,58.8
30,0.25,0.25,58.8
31,0.25,0.25,58.8
32,0.25,0.25,58.8
33,0.25,0.25,58.8
34,0.25,0.25,58.8
35,0.25,0.25,58.8
36,0.25,0.25,58.8
37,0.25,0.25,58.8
38,0.25,0.25,58.8
39,0.25,0.25,58.8
40,0.25,0.25,58.8
41,0.25,0.25,58.8
42,0.25,0.25,58.8
43,0.25,0.25,58.8
44,0.25,0.25,58.8
45,0.25,0.25,58.8
46,0.25,0.25,58.8
47,0.25,0.25,58.8
48,0.25,0.25,58.8
49,0.25,0.25,58.8
50,0.25,0.25,58.8
51,0.25,0.5,0.0
52,0.25,0.5,0.0
53,0.25,0.5,52.9
54,0.25,0.5,56.5
55,0.25,0.5,57.5
56,0.25,0.5,58.5
57,0.25,0.5,58.9
58,0.25,0.5,58.9
59,0.25,0.5,58.9
60,0.25,0.5,58.9
61,0.25,0.5,58.9
62,0.25,0.5,58.9
63,0.25,0.5,58.9
64,0.25,0.5,58.9
65,0.25,0.5,58.9
66,0.25,0.5,58.9
67,0.25,0.5,58.9
68,0.25,0.5,58.9
69,0.25,0.5,58.9
70,0.25,0.5,58.9
71,0.25,0.5,58.9
72,0.25,0.5,58.9
73,0.25,0.5,58.9
74,0.25,0.5,58.9
75,0.25,0.5,58.9
76,0.25,0.5,58.9
77,0.25,0.5,58.9
78,0.25,0.5,58.9
79,0.25,0.5,58.9
80,0.25,0.5,58.9
81,0.25,0.5,58.9
82,0.25,0.5,58.9
83,0.25,0.5,58.9
84,0.25,0.5,58.9
85,0.25,0.5,58.9
86,0.25,0.5,58.9
87,0.25,0.5,58.9
88,0.25,0.5,58.9
89,0.25,0.5,58.9
90,0.25,0.5,58.9
91,0.25,0.5,58.9
92,0.25,0.5,58.9
93,0.25,0.5,58.9
94,0.25,0.5,58.9
95,0.25,0.5,58.9
96,0.25,0.5,58.9
97,0.25,0.5,58.9
98,0.25,0.5,58.9
99,0.25,0.5,58.9
100,0.25,0.5,58.9
101,0.25,0.5,58.9
102,0.25,0.75,0.0
103,0.25,0.75,0.0
