,Intolerance,wealth_intolerance,Avg pct similar neighbors
0,0.25,0.25,0.0
1,0.25,0.25,0.0
2,0.25,0.25,51.8
3,0.25,0.25,56.4
4,0.25,0.25,57.0
5,0.25,0.25,58.2
6,0.25,0.25,58.3
7,0.25,0.25,58.5
8,0.25,0.25,58.5
9,0.25,0.25,58.5
10,0.25,0.25,58.5
11,0.25,0.25,58.5
12,0.25,0.25,58.5
13,0.25,0.25,58.5
14,0.25,0.25,58.5
15,0.25,0.25,58.5
16,0.25,0.25,58.5
17,0.25,0.25,58.5
18,0.25,0.25,58.5
19,0.25,0.25,58.5
20,0.25,0.25,58.5
21,0.25,0.25,58.5
22,0.25,0.25,58.5
23,0.25,0.25,58.5
24,0.25,0.25,58.5
25,0.25,0.25,58.5
26,0.25,0.25,58.5
27,0.25,0.25,58.5
28,0.25,0.25,58.5
29,0.25,0.25,58.5
30,0.25,0.25,58.5
31,0.25,0.25,58.5
32,0.25,0.25,58.5
33,0.25,0.25,58.5
34,0.25,0.25,58.5
35,0.25,0.25,58.5
36,0.25,0.25,58.5
37,0.25,0.25,58.5
38,0.25,0.25,58.5
39,0.25,0.25,58.5
40,0.25,0.25,58.5
41,0.25,0.25,58.5
42,0.25,0.25,58.5
43,0.25,0.25,58.5
44,0.25,0.25,58.5
45,0.25,0.25,58.5
46,0.25,0.25,58.5
47,0.25,0.25,58.5
48,0.25,0.25,58.5
49,0.25,0.25,58.5
50,0.25,0.25,58.5
51,0.25,0.25,0.0
52,0.25,0.25,0.0
53,0.25,0.25,52.2
54,0.25,0.25,54.9
55,0.25,0.25,55.4
56,0.25,0.25,55.6
57,0.25,0.25,56.1
58,0.25,0.25,56.1
59,0.25,0.25,56.1
60,0.25,0.25,56.1
61,0.25,0.25,56.1
62,0.25,0.25,56.1
63,0.25,0.25,56.1
64,0.25,0.25,56.1
65,0.25,0.25,56.1
66,0.25,0.25,56.1
67,0.25,0.25,56.1
68,0.25,0.25,56.1
69,0.25,0.25,56.1
70,0.25,0.25,56.1
71,0.25,0.25,56.1
72,0.25,0.25,56.1
73,0.25,0.25,56.1
74,0.25,0.25,56.1
75,0.25,0.25,56.1
76,0.25,0.25,56.1
77,0.25,0.25,56.1
78,0.25,0.25,56.1
79,0.25,0.25,56.1
80,0.25,0.25,56.1
81,0.25,0.25,56.1
82,0.25,0.25,56.1
83,0.25,0.25,56.1
84,0.25,0.25,56.1
85,0.25,0.25,56.1
86,0.25,0.25,56.1
87,0.25,0.25,56.1
88,0.25,0.25,56.1
89,0.25,0.25,56.1
90,0.25,0.25,56.1
91,0.25,0.25,56.1
92,0.25,0.25,56.1
93,0.25,0.25,56.1
94,0.25,0.25,56.1
95,0.25,0.25,56.1
96,0.25,0.25,56.1
97,0.25,0.25,56.1
98,0.25,0.25,56.1
99,0.25,0.25,56.1
100,0.25,0.25,56.1
101,0.25,0.25,56.1
102,0.25,0.25,0.0
103,0.25,0.25,0.0
